JavaFX Project,2024-08-01,Completed
Database Design Report,2024-08-07,In Progress
Network Security Quiz,2024-08-10,Pending
Web Development Assignment,2024-08-15,Completed
Machine Learning Project,2024-08-20,In Progress
Cloud Computing Lab,2024-08-25,Pending
AI Ethics Paper,2024-08-30,Completed
Software Engineering Case Study,2024-09-05,In Progress
Algorithm Design Exercise,2024-09-10,Pending
Cybersecurity Analysis,2024-09-15,Completed
Mobile App Development,2024-09-20,In Progress
Big Data Analytics,2024-09-25,Pending
Human-Computer Interaction Project,2024-09-30,Completed
Virtual Reality Experience,2024-10-05,In Progress